1,1,2to3,0
1,2,2to3,0
1,3,2to3,0
1,4,2to3,0
1,5,grad,266
2,1,2to3,0
2,2,2to3,0
2,3,2to3,0
2,4,2to3,0
2,5,not enroll,0
2,6,not enroll,21
3,1,2to3,0
3,2,2to3,0
3,3,2to3,0
3,4,<2,0
3,5,not enroll,0
3,6,not enroll,10
4,1,2to3,0
4,2,2to3,0
4,3,2to3,0
4,4,>=3,0
4,5,grad,65
5,1,2to3,0
5,2,2to3,0
5,3,2to3,0
5,4,grad,18
6,1,2to3,0
6,2,2to3,0
6,3,2to3,0
6,4,not enroll,0
6,5,not enroll,0
6,6,not enroll,26
7,1,2to3,0
7,2,2to3,0
7,3,<2,0
7,4,2to3,0
7,5,grad,1
8,1,2to3,0
8,2,2to3,0
8,3,<2,0
8,4,2to3,0
8,5,not enroll,0
8,6,not enroll,1
9,1,2to3,0
9,2,2to3,0
9,3,<2,0
9,4,<2,0
9,5,not enroll,0
9,6,not enroll,3
10,1,2to3,0
10,2,2to3,0
10,3,<2,0
10,4,not enroll,0
10,5,not enroll,0
10,6,not enroll,26
11,1,2to3,0
11,2,2to3,0
11,3,>=3,0
11,4,2to3,0
11,5,grad,11
12,1,2to3,0
12,2,2to3,0
12,3,>=3,0
12,4,>=3,0
12,5,grad,115
13,1,2to3,0
13,2,2to3,0
13,3,>=3,0
13,4,grad,11
14,1,2to3,0
14,2,2to3,0
14,3,>=3,0
14,4,not enroll,0
14,5,not enroll,0
14,6,not enroll,3
15,1,2to3,0
15,2,2to3,0
15,3,not enroll,0
15,4,2to3,0
15,5,grad,2
16,1,2to3,0
16,2,2to3,0
16,3,not enroll,0
16,4,2to3,0
16,5,not enroll,0
16,6,not enroll,1
17,1,2to3,0
17,2,2to3,0
17,3,not enroll,0
17,4,<2,0
17,5,not enroll,0
17,6,not enroll,2
18,1,2to3,0
18,2,2to3,0
18,3,not enroll,0
18,4,not enroll,0
18,5,not enroll,0
18,6,not enroll,67
19,1,2to3,0
19,2,<2,0
19,3,2to3,0
19,4,2to3,0
19,5,grad,3
20,1,2to3,0
20,2,<2,0
20,3,2to3,0
20,4,2to3,0
20,5,not enroll,0
20,6,not enroll,2
21,1,2to3,0
21,2,<2,0
21,3,2to3,0
21,4,<2,0
21,5,not enroll,0
21,6,not enroll,2
22,1,2to3,0
22,2,<2,0
22,3,2to3,0
22,4,not enroll,0
22,5,not enroll,0
22,6,not enroll,5
23,1,2to3,0
23,2,<2,0
23,3,<2,0
23,4,<2,0
23,5,not enroll,0
23,6,not enroll,1
24,1,2to3,0
24,2,<2,0
24,3,<2,0
24,4,not enroll,0
24,5,not enroll,0
24,6,not enroll,12
25,1,2to3,0
25,2,<2,0
25,3,not enroll,0
25,4,not enroll,0
25,5,not enroll,0
25,6,not enroll,28
26,1,2to3,0
26,2,>=3,0
26,3,2to3,0
26,4,2to3,0
26,5,grad,16
27,1,2to3,0
27,2,>=3,0
27,3,2to3,0
27,4,2to3,0
27,5,not enroll,0
27,6,not enroll,2
28,1,2to3,0
28,2,>=3,0
28,3,2to3,0
28,4,>=3,0
28,5,grad,10
29,1,2to3,0
29,2,>=3,0
29,3,2to3,0
29,4,grad,3
30,1,2to3,0
30,2,>=3,0
30,3,>=3,0
30,4,2to3,0
30,5,grad,11
31,1,2to3,0
31,2,>=3,0
31,3,>=3,0
31,4,>=3,0
31,5,grad,227
32,1,2to3,0
32,2,>=3,0
32,3,>=3,0
32,4,>=3,0
32,5,not enroll,0
32,6,not enroll,1
33,1,2to3,0
33,2,>=3,0
33,3,>=3,0
33,4,grad,25
34,1,2to3,0
34,2,>=3,0
34,3,>=3,0
34,4,not enroll,0
34,5,not enroll,0
34,6,not enroll,1
35,1,2to3,0
35,2,>=3,0
35,3,not enroll,0
35,4,not enroll,0
35,5,not enroll,0
35,6,not enroll,15
36,1,2to3,0
36,2,not enroll,0
36,3,2to3,0
36,4,2to3,0
36,5,grad,2
37,1,2to3,0
37,2,not enroll,0
37,3,2to3,0
37,4,>=3,0
37,5,grad,1
38,1,2to3,0
38,2,not enroll,0
38,3,<2,0
38,4,not enroll,0
38,5,not enroll,0
38,6,not enroll,2
39,1,2to3,0
39,2,not enroll,0
39,3,>=3,0
39,4,>=3,0
39,5,grad,1
40,1,2to3,0
40,2,not enroll,0
40,3,not enroll,0
40,4,not enroll,0
40,5,not enroll,0
40,6,not enroll,159
