1,1,2to3,0
1,2,2to3,0
1,3,2to3,4
2,1,2to3,0
2,2,2to3,0
2,3,2to3,0
2,4,2to3,266
3,1,2to3,0
3,2,2to3,0
3,3,2to3,0
3,4,2to3,0
3,5,not enroll,21
4,1,2to3,0
4,2,2to3,0
4,3,2to3,0
4,4,<2,0
4,5,not enroll,10
5,1,2to3,0
5,2,2to3,0
5,3,2to3,0
5,4,>=3,65
6,1,2to3,0
6,2,2to3,0
6,3,2to3,0
6,4,grad,14
7,1,2to3,0
7,2,2to3,0
7,3,2to3,0
7,4,not enroll,0
7,5,not enroll,26
8,1,2to3,0
8,2,2to3,0
8,3,<2,0
8,4,2to3,1
9,1,2to3,0
9,2,2to3,0
9,3,<2,0
9,4,2to3,0
9,5,not enroll,1
10,1,2to3,0
10,2,2to3,0
10,3,<2,0
10,4,<2,0
10,5,not enroll,3
11,1,2to3,0
11,2,2to3,0
11,3,<2,0
11,4,not enroll,0
11,5,not enroll,26
12,1,2to3,0
12,2,2to3,0
12,3,>=3,4
13,1,2to3,0
13,2,2to3,0
13,3,>=3,0
13,4,2to3,11
14,1,2to3,0
14,2,2to3,0
14,3,>=3,0
14,4,>=3,115
15,1,2to3,0
15,2,2to3,0
15,3,>=3,0
15,4,grad,7
16,1,2to3,0
16,2,2to3,0
16,3,>=3,0
16,4,not enroll,0
16,5,not enroll,3
17,1,2to3,0
17,2,2to3,0
17,3,not enroll,0
17,4,2to3,2
18,1,2to3,0
18,2,2to3,0
18,3,not enroll,0
18,4,2to3,0
18,5,not enroll,1
19,1,2to3,0
19,2,2to3,0
19,3,not enroll,0
19,4,<2,0
19,5,not enroll,2
20,1,2to3,0
20,2,2to3,0
20,3,not enroll,0
20,4,not enroll,0
20,5,not enroll,67
21,1,2to3,0
21,2,<2,0
21,3,2to3,0
21,4,2to3,3
22,1,2to3,0
22,2,<2,0
22,3,2to3,0
22,4,2to3,0
22,5,not enroll,2
23,1,2to3,0
23,2,<2,0
23,3,2to3,0
23,4,<2,0
23,5,not enroll,2
24,1,2to3,0
24,2,<2,0
24,3,2to3,0
24,4,not enroll,0
24,5,not enroll,5
25,1,2to3,0
25,2,<2,0
25,3,<2,0
25,4,<2,0
25,5,not enroll,1
26,1,2to3,0
26,2,<2,0
26,3,<2,0
26,4,not enroll,0
26,5,not enroll,12
27,1,2to3,0
27,2,<2,0
27,3,not enroll,0
27,4,not enroll,0
27,5,not enroll,28
28,1,2to3,0
28,2,>=3,0
28,3,2to3,1
29,1,2to3,0
29,2,>=3,0
29,3,2to3,0
29,4,2to3,16
30,1,2to3,0
30,2,>=3,0
30,3,2to3,0
30,4,2to3,0
30,5,not enroll,2
31,1,2to3,0
31,2,>=3,0
31,3,2to3,0
31,4,>=3,10
32,1,2to3,0
32,2,>=3,0
32,3,2to3,0
32,4,grad,2
33,1,2to3,0
33,2,>=3,0
33,3,>=3,10
34,1,2to3,0
34,2,>=3,0
34,3,>=3,0
34,4,2to3,11
35,1,2to3,0
35,2,>=3,0
35,3,>=3,0
35,4,>=3,227
36,1,2to3,0
36,2,>=3,0
36,3,>=3,0
36,4,>=3,0
36,5,not enroll,1
37,1,2to3,0
37,2,>=3,0
37,3,>=3,0
37,4,grad,15
38,1,2to3,0
38,2,>=3,0
38,3,>=3,0
38,4,not enroll,0
38,5,not enroll,1
39,1,2to3,0
39,2,>=3,0
39,3,not enroll,0
39,4,not enroll,0
39,5,not enroll,15
40,1,2to3,0
40,2,not enroll,0
40,3,2to3,0
40,4,2to3,2
41,1,2to3,0
41,2,not enroll,0
41,3,2to3,0
41,4,>=3,1
42,1,2to3,0
42,2,not enroll,0
42,3,<2,0
42,4,not enroll,0
42,5,not enroll,2
43,1,2to3,0
43,2,not enroll,0
43,3,>=3,0
43,4,>=3,1
44,1,2to3,0
44,2,not enroll,0
44,3,not enroll,0
44,4,not enroll,0
44,5,not enroll,159
